Size	no cache	block	dataflow	dataflow+block	adapter	adapter+block
6	100	233	105	248	62	217
7	148	259	107	252	80	236
8	249	289	201	297	86	266
9	364	375	277	361	138	292
10	534	448	378	433	168	345
11	734	556	471	487	227	386
12	1013	658	661	614	299	442
13	1306	800	814	729	378	541
14	1712	990	1045	900	459	619
15	2160	1210	1292	1069	608	727
16	2653	1467	1626	1276	716	852
17	3292	1740	1971	1508	882	1007
18	4005	2071	2442	1801	1038	1184
19	4681	2398	2823	2080	1174	1315
20	5570	2786	3375	2460	1400	1505
21	6565	3260	3927	2880	1628	1743
22	7621	3769	4595	3260	3008	1994
23	8830	4343	5280	3744	9674	2283
24	10204	4946	6115	4280	3128	2599
25	11636	5638	6949	4833	3499	2949
26	13208	6380	7882	5478	4007	3301
27	14945	7181	8868	6155	4500	3699
28	16835	8047	10024	6913	5062	4134
29	18849	8988	11135	7674	5628	4579
30	20899	10007	12463	8527	6201	5090
31	23341	11098	13775	9432	44300	5635
32	25711	12246	15322	10419	146270	6187
