Data_Size	Window_Size	no cache	block	adapter	adapter+block	dataflow	dataflow+block
512	4	3550942	2864776	2061075	2021591	2326917	2268415
512	5	5245736	4057494	2701339	2672575	3104733	3055866
512	6	7317820	5517373	3517446	3488607	4054910	4003211
512	7	9769272	7234284	4479630	4453478	5172730	5125753
512	8	12597136	9212463	5587501	5563483	6457056	6412621
512	9	15798367	11453480	6843697	6825530	10878024	9516234
512	10	19382183	13958544	8250690	8251234	17055995	13689519
512	11	23343880	16726018	9796599	9779249	24122543	18491698
512	12	27691432	19756132	11492294	11481009	32213204	23918514
512	13	32395690	23050179	13332456	13326533	41108512	29966898
512	14	37485030	26617006	15325183	15318731	51529106	36637545
512	15	42953415	30414151	17467449	17459490	62158039	43913756
513	16	48782756	34490202	19752944	19748783	73993675	51812417
514	17	55030871	38843902	26354233	24055490	84004904	58704851
515	18	61614683	43439401	33853995	28993170	93975264	65653679
64	8	242803	141100	84384	83367	95031	94056
